Year,Month,Value
1994,6,364.898
1994,5,315.409
1994,4,290.98
1994,3,342.258
1994,2,268.122
1994,1,301.016
1993,12,383.788
1993,11,313.287
1993,10,336.807
1993,9,330.493
1993,8,313.203
1993,7,366.057
1993,6,395.983
1993,5,368.658
1993,4,334.44
1993,3,337.857
1993,2,356.372
1993,1,389.729
1992,12,454.305
1992,11,421.614
1992,10,377.684
1992,9,411.916
1992,8,361.507
1992,7,436.025
1992,6,418.893
1992,5,427.79
1992,4,408.689
1992,3,407.686
1992,2,362.809
1992,1,448.024
1991,12,485.261
1991,11,457.316
1991,10,424.921
1991,9,426.834
1991,8,442.335
1991,7,448.328
1991,6,414.046
1991,5,480.037
1991,4,321.809
1991,3,390.163
1991,2,459.208
1991,1,390.709
1990,12,428.301
1990,11,452.523
1990,10,411.267
1990,9,429.923
1990,8,427.652
1990,7,376.414
1990,6,398.404
1990,5,395.314
1990,4,370.383
1990,3,405.798
1990,2,312.469
1990,1,344.036
1989,12,419.87
1989,11,444.459
1989,10,408.364
1989,9,382.094
1989,8,402.08
1989,7,319.511
1989,6,436.451
1989,5,412.071
1989,4,397.376
1989,3,393.816
1989,2,331.006
1989,1,313.8
1988,12,435.713
1988,11,357.231
1988,10,378.123
1988,9,393.352
1988,8,402.504
1988,7,376.724
1988,6,388.899
1988,5,367.61
1988,4,361.577
1988,3,347.037
1988,2,272.704
1988,1,284.978
1987,12,412.549
1987,11,327.548
1987,10,299.86
1987,9,321.435
1987,8,331.515
1987,7,304.889
1987,6,317.274
1987,5,298.087
1987,4,321.842
1987,3,309.288
1987,2,288.662
1987,1,279.001
1986,12,327.693
1986,11,329.66
1986,10,348.583
1986,9,345.79
1986,8,372.569
1986,7,336.621
1986,6,313.467
1986,5,362.502
1986,4,376.285
1986,3,305.316
1986,2,285.113
1986,1,317.88
1985,12,364.93
1985,11,403.539
1985,10,362.454
1985,9,362.598
1985,8,416.556
1985,7,324.699
1985,6,337.928
1985,5,378.169
1985,4,326.78
1985,3,311.093
1985,2,304.13
1985,1,303.303
1984,12,359.021
1984,11,268.968
1984,10,293.857
1984,9,353.487
1984,8,357.832
1984,7,324.437
1984,6,364.921
1984,5,363.003
1984,4,324.792
1984,3,313.676
1984,2,217.414
1984,1,244.738
1983,12,287.847
1983,11,277.961
1983,10,323.607
1983,9,322.919
1983,8,346.76
1983,7,271.255
1983,6,331.364
1983,5,343.613
1983,4,310.203
1983,3,316.061
1983,2,262.163
1983,1,299.176
1982,12,320.089
1982,11,348.893
1982,10,436.056
1982,9,374.181
1982,8,356.374
1982,7,383.841
1982,6,414.798
1982,5,417.923
1982,4,425.018
1982,3,440.048
1982,2,373.937
1982,1,316.441
1981,12,429.619
1981,11,439.771
1981,10,465.502
1981,9,410.856
